instance,n,number of cycles,covered squares,cpu_time (s),solution found
ee822ca3-e7f8-462f-9681-84b76ca78e84.singles,5,4,6,0.001430858,True
26d62745-9be0-4843-8e7f-8e4b86d8f3a3.singles,5,25,6,0.001735819,True
bc758801-9c2e-425d-aa08-48a5567e9d43.singles,5,31,7,0.002087267,True
83092457-4cbd-40f8-bb4e-bec6d3a2fff4.singles,5,32,7,0.002178287,True
721e608d-2de8-4b21-9d85-833e154a7669.singles,5,6,7,0.001488707,True
0b95eec2-3d92-42f3-9622-755140897020.singles,5,78,7,0.002623871,True
6faa7545-8ce8-4356-8948-281b81c5411d.singles,5,23,7,0.001920164,True
7884c79b-2a2c-4204-8d17-fd87a87b3fec.singles,5,69,8,0.00264474,True
705437a4-5dce-4b20-89a5-a5c54f1aa461.singles,5,9,7,0.001650389,True
26174738-2f0a-468a-b8d3-0b95f0915ffe.singles,5,18,7,0.001801171,True
f28bd710-618d-4bff-b11b-a1a281228415.singles,5,7,6,0.001551415,True
941ea581-6ce3-482a-9737-1fe5152c62ad.singles,5,27,6,0.001812034,True
7b16debb-aa3b-42b1-afe3-f971d71b6167.singles,5,24,7,0.001866664,True
91b438b0-d8f7-47b7-81e4-9bd9a7c7a639.singles,5,6,6,0.001430828,True
21fc9bac-707c-41f3-acf5-e2e19dbfc2a7.singles,5,91,7,0.00279394,True
94ef1d32-b7a4-4fa3-ab5e-1729605cfcef.singles,5,3,8,0.00140484,True
ef44e05f-2b19-4ce2-b549-cf27a1916ebf.singles,5,14,6,0.001824475,True
702b880c-b2ca-4383-84ce-2c722757e730.singles,5,21,6,0.001935673,True
d912ed30-dc79-49d6-b086-63abae33e595.singles,5,40,7,0.002384023,True
6fc7cbee-5179-4720-bece-8602db52e8d6.singles,5,21,8,0.001946863,True
113ccb00-bcb3-442a-a423-e48dcafd7cdc.singles,5,35,6,0.001832169,True
74f0048c-675e-4e45-a306-f39785a6bb7a.singles,5,17,7,0.001746781,True
1dcf9f9d-cab3-45be-93e4-b7dfcfd70b78.singles,5,21,7,0.001801111,True
13be0ba3-7474-4edf-9f5d-37078c37831f.singles,5,5,7,0.001479029,True
38925b08-8219-4cad-97b1-c56fbbd915a0.singles,5,6,7,0.0015327,True
68a91f6e-c0ee-4899-8c32-e4f5b30f4129.singles,5,123,6,0.002946155,True
bc6c476d-8126-4dd2-9f3d-2865749019b6.singles,5,13,7,0.001653817,True
2a45d90a-0d65-4beb-af68-e07570a9a95e.singles,5,4,6,0.001615234,True
1c383f1c-6c61-466d-9091-fb6bd1c0d605.singles,5,3,6,0.001708228,True
79ecd2a6-badc-48cf-b68e-fb183392b8ed.singles,5,15,7,0.001782967,True
f5fdd02a-0218-467d-be3d-22db2eb0e35a.singles,5,26,8,0.002229684,True
c9f52980-a833-4206-97dd-55b46657a5ce.singles,5,19,7,0.001773099,True
26f0812c-bad6-45d0-a61e-d76c674f4628.singles,5,22,7,0.001902391,True
d54ac478-5a6a-420b-a32c-50e397939c55.singles,5,8,7,0.001564237,True
55a5c59c-3d3f-4c3e-998b-fa47d5d39eca.singles,5,16,7,0.001779622,True
09c30354-70b5-475c-b5c4-c8461e2f4617.singles,5,4,8,0.001448221,True
86806004-cad8-4aed-9e4e-ea818a8e37e5.singles,5,12,7,0.001644778,True
9bad9b74-269f-45db-bd5b-68f94edb7943.singles,5,21,7,0.00173095,True
223c203d-df0e-4254-b2d7-6e1a1f58c232.singles,5,3,7,0.001493406,True
c532f912-ddaf-405b-ab9d-de25e2bbb4e0.singles,5,13,7,0.001792434,True
12bd0619-4e1c-4800-99d8-a1adbc122821.singles,5,8,7,0.001576682,True
05b67cf5-fd30-42b3-92f9-56f74ee622d1.singles,5,10,6,0.00163473,True
3446093e-9bc4-4af9-95e7-762315c73778.singles,5,4,7,0.001441098,True
1779397d-1236-4ca6-9950-c272b737ab03.singles,5,11,7,0.001587101,True
6ee5f099-154b-4eac-8546-6e5eff4d5565.singles,5,15,7,0.001699611,True
1f4dec40-d61c-4c76-af41-c4db5d1753a8.singles,5,22,7,0.002047362,True
8add9fe8-c767-47eb-b52a-d21b415c8e2f.singles,5,18,8,0.001821129,True
bba98cd9-377a-41e9-955a-f0e18fc13cbe.singles,5,1,6,0.001274266,True
93523a01-d531-4e2e-88c4-7a670292f832.singles,5,13,7,0.001462528,True
eba5b1f3-615b-41e2-983a-4560c61f153d.singles,5,16,7,0.001814036,True
3b27f597-9bc1-45b5-87ae-b43d18c1982b.singles,5,217,7,0.004131161,True
e15241c0-f157-4ba3-8fd4-7bfcf92fe8d1.singles,5,25,7,0.001838771,True
1034cc94-c132-4892-b713-53f2fb501368.singles,5,10,8,0.001630422,True
3d64580d-c970-4ca8-942d-a297a136f4d6.singles,5,13,7,0.001710811,True
33d4041d-7242-47ad-bb4d-1f371b813c5f.singles,5,13,6,0.00163563,True
121a033e-f3fa-4978-bd76-b25e650c3ac2.singles,5,29,7,0.001990947,True
aab9d2ad-3a9d-4a2f-a395-49b896bc9dba.singles,5,3,8,0.001396063,True
bf33a249-834e-4991-a33e-bc27f74b5180.singles,5,15,6,0.001643196,True
26ffc66c-4082-4838-887c-0dedd537f4b3.singles,5,6,7,0.001476954,True
5e4a6d00-9458-494a-99bd-6f39562752c4.singles,5,18,7,0.002321415,True
c01ef134-c064-495a-b2b6-3337c0914025.singles,5,15,7,0.001972812,True
767e6f9c-923c-4acb-a4d9-1ed22ee8a591.singles,5,21,7,0.001985827,True
a5702dd3-de02-46f9-b732-ee03d18983a7.singles,5,4,6,0.001438613,True
2c26fae1-00fb-4be2-9833-af82e9f9a31d.singles,5,11,7,0.00160823,True
e9478b24-0016-401d-b76d-5376f5c14bb2.singles,5,13,6,0.001716402,True
262c95ad-0fcb-4d79-85a9-94dbcfbabf73.singles,5,21,7,0.001835856,True
1bf9e000-9828-493d-9071-b36b74fe3905.singles,5,13,7,0.001641503,True
b8778d79-f856-481a-a8b1-c4cff7943a04.singles,5,6,6,0.001491963,True
d799d01a-6a82-4fc5-afc8-dde0a23b7a67.singles,5,9,7,0.001624972,True
d39ace27-30d5-4f93-9f3e-3d8d9e4f7df7.singles,5,48,7,0.002274397,True
e606c7a2-7339-456b-aca5-d14921a7f65e.singles,5,17,6,0.001924672,True
be118788-36f9-4ba8-aabf-21d60eb49088.singles,5,23,7,0.002090482,True
aa477f33-5bcd-4a46-a203-0660507e4d3c.singles,5,24,7,0.001773852,True
3b25d5ae-22d3-4dfd-ac01-91df37429bad.singles,5,3,6,0.00156514,True
662934fe-6bc0-4552-bedb-dc74bb6313a7.singles,5,13,7,0.001607889,True
3b92009c-f0d1-423e-8bf8-473637c33b9e.singles,5,4,7,0.001406393,True
4e3d5191-b674-442f-82d0-6d2dbc239f8f.singles,5,9,6,0.001566111,True
b8451eb3-a805-4521-98c4-1b1a6020787e.singles,5,7,7,0.001546655,True
cce6f3bf-6559-4aec-a224-535ad3c5084f.singles,5,27,6,0.001832069,True
1163cc2f-915a-4a17-bd9d-460b3c499cbc.singles,5,35,7,0.002071647,True
35a0995f-381e-4819-98f3-038a94b77453.singles,5,63,8,0.002318891,True
b4dff322-77c9-4eed-9724-9f29d0cf08fe.singles,5,4,8,0.001758311,True
225f7bc8-71ad-43ea-b72a-5984d6b0f2f3.singles,5,12,7,0.001772408,True
8227a93c-4f1f-4cf9-abab-912db0e4a13f.singles,5,32,6,0.002060597,True
85e50d08-092c-4387-8dff-ccc0201d5280.singles,5,38,7,0.002256173,True
93bc9a6e-8652-4251-a655-313d1920b724.singles,5,16,7,0.001782897,True
6d7ed034-04cd-4c20-8e7d-fb7471982334.singles,5,10,7,0.001624971,True
7ffc04c2-ea9c-46e1-ae8e-6c37b7978e6c.singles,5,12,7,0.001855524,True
1cf996af-959a-4fcd-a92f-e8bcd5648912.singles,5,3,6,0.001345328,True
5f9c45e7-b76d-4ea5-9de3-df0934431b1b.singles,5,3,6,0.00133564,True
35ab1868-f2c8-4bf9-9d21-935d1cda832c.singles,5,22,6,0.001851837,True
9aa72ffa-d9af-4cc1-8529-eff0ea07f830.singles,5,43,7,0.002304162,True
3f2bf19c-1bf4-410e-b299-995e7c3b32f8.singles,5,2,6,0.001352652,True
ff85cbda-229b-41ef-823a-64f7c31f2511.singles,5,94,8,0.002654358,True
283f736d-03ae-42ee-b94a-e501d143791b.singles,5,9,7,0.001625913,True
a5c8139d-6f43-478b-90d3-0ef8803b7516.singles,5,49,8,0.002441821,True
0de3170e-9a98-4dbb-a7bd-3c751e1783c7.singles,5,0,6,0.001188546,True
b32df5c3-d27c-4899-b5c8-e320e4d5649e.singles,5,43,7,0.002220586,True
82b6257a-bfaf-4ed8-9d24-5e2b27797cb1.singles,5,90,8,0.002557337,True
bffd1f36-2f0b-4e50-9476-ffc564086cdf.singles,5,73,7,0.002528543,True
6cf0b780-50ef-4a5d-a4f8-192e5751def8.singles,5,73,7,0.002780554,True
197a552c-7d6d-490e-924f-b5454a3cfe22.singles,5,24,7,0.001977162,True
dcf0e132-fc34-4a1c-a37b-772f7fdd5fd5.singles,5,25,8,0.002086565,True
dbd9e579-6f8f-464c-b2f0-6aa1dd338e6e.singles,5,21,8,0.001788618,True
5fe4dcef-6b26-4cd1-9552-9110bf20ec56.singles,5,9,7,0.001523642,True
2341c0cd-acbb-4d40-b6c8-79078e6b98a9.singles,5,94,7,0.002588375,True
260f2e38-2fe0-4af2-985c-17c15f228ec6.singles,5,7,7,0.001514485,True
2fc2fca4-37e2-4eae-8e0e-7d103dd9b768.singles,5,15,8,0.00167211,True
ef3fd69b-451e-4f3d-ba43-fa78002d222b.singles,5,47,7,0.002069373,True
a497fb7e-f87a-46b5-a2b2-e6688a169316.singles,5,9,7,0.001584195,True
d3da752b-9eac-48e8-9ad7-cf88a7ab88f7.singles,5,9,8,0.001753011,True
7f2e91a5-8f46-4ea9-9800-29efdd67e958.singles,5,32,7,0.002351343,True
dcee29ee-48d7-4fb8-b3c7-69691615f78d.singles,5,21,8,0.00185388,True
bac88355-3444-4bc7-ac1a-ed9a7f33864f.singles,5,23,6,0.002169939,True
2e871f63-4e12-441c-af2c-4dffb8f992e8.singles,5,21,7,0.001888455,True
4fcdf6f4-2376-4cff-8f8d-1ddc1251ec2f.singles,5,1,8,0.001329429,True
df38274b-3c0c-4a73-bba4-98b3e9e94f66.singles,5,39,6,0.00208369,True
1d4452ac-119c-43b5-b259-193966efb8f3.singles,5,88,8,0.002553629,True
6708046b-e6c2-4b49-889c-e7bfdcd93034.singles,5,7,6,0.001481032,True
81e0ba91-ce5c-4732-bc24-aacfe15a044b.singles,5,16,6,0.001638417,True
d816a05b-d6f8-47ba-ba34-b7c74673201a.singles,5,7,8,0.001872755,True
20f81eaa-b93b-4d03-976b-980c019e310c.singles,5,11,7,0.001830967,True
449a1633-6a4e-4632-b35e-7fcd1879bd5b.singles,5,7,7,0.00162475,True
