instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
10ee98e4-76e7-4dce-9251-fe6e4c8f02de.singles,10,1.221750868,0.0005322098899999999,0.013687235220000012,1.323e-06,8.108757999999999e-05,0,100,682,62,30,0,0,3,3,0
115679fb-2d0f-4d32-ac21-dbf546033394.singles,10,20,0.00054419019,0.00413410629,0,8.331681999999998e-05,0,100,194,57,29,0,0,2,3,0
11d72d2b-8b91-4e68-983d-e460d9453f71.singles,10,20,0.0005187856,0.015385210229999996,0,8.194623000000002e-05,0,100,1038,67,29,0,0,1,2,0
11ea1d1c-2f31-4087-8bcb-c01746dba0ef.singles,10,2.745083796,0.0005372100399999999,0.02845740083,1.273e-06,0.0016478910299999993,2,100,2090,64,30,0,0,1,4,0
120866e5-a0dd-474d-a6b5-2bba6a553d3e.singles,10,20,0.0005475614100000001,0.03800952717000001,0,0.0026919898,3,100,2356,67,29,0,0,1,4,0
12132076-eed4-45ee-835c-b4b6c736635b.singles,10,20,0.0005194729899999999,0.011091570969999997,0,0.0019227188300000003,2,100,609,65,31,0,0,2,3,0
123c8361-d18a-4023-a5cb-adab050f88c1.singles,10,20,0.0005233781600000001,0.009923997740000003,0,0.003510685730000001,3,100,612,60,27,0,0,2,4,0
127683b5-10c1-4d7a-8b6b-71c065fd4a11.singles,10,20,0.00050593937,0.0028775036000000015,0,0.0019148113899999997,2,100,91,61,29,0,0,0,2,0
12b5bcce-5e01-481f-bafc-220147bf9fd7.singles,10,20,0.00052929474,0.023456102109999998,0,0.0018338225700000003,2,100,1424,66,29,0,0,3,2,0
1308b921-e191-4fc5-ba84-84f046e12cf4.singles,10,20,0.00053089594,0.0206838955,0,0.00379853187,4,100,1430,64,30,0,0,3,3,0
130f4d9d-bc77-4a62-a327-10cb9beeb121.singles,10,20,0.0005117073000000001,0.004651562550000003,0,0.0019283305699999988,2,100,223,59,27,0,0,3,3,0
13799616-ea9d-4ae9-8d04-8f9ae74e6c66.singles,10,20,0.00051194951,0.005688497680000001,0,8.008741000000004e-05,0,100,255,64,30,0,0,1,3,0
13abbdac-40e2-4e1c-9e8e-a8be793b4590.singles,10,20,0.0005196095099999999,0.004241821989999999,0,8.080035e-05,0,100,200,63,28,0,0,0,3,0
13f73d5d-c015-492a-b3e8-1549cb4a8d3e.singles,10,20,0.0005639541399999998,0.20097003395000004,0,9.076646e-05,0,100,16541,66,31,0,0,2,2,0
143237d2-1b02-4239-9523-7271d81a3266.singles,10,20,0.0005347915400000001,0.009585834559999997,0,0.008850335990000003,9,100,572,65,28,0,0,2,3,0
144298d5-a505-41b0-8e73-47a0f23cb9cc.singles,10,1.288748501,0.00053107666,0.00914667257,1.754e-06,8.294756000000002e-05,0,100,680,61,29,0,0,3,4,0
14609c4b-0ad5-46b5-a0b3-160606df19cf.singles,10,20,0.0005045457400000001,0.00221911206,0,8.031942e-05,0,100,72,63,29,0,0,2,3,0
147247ed-bafd-498b-9ada-114596c46e8f.singles,10,20,0.0005499745000000003,0.017064156310000002,0,0.16448962486000007,40,100,1191,62,30,0,0,0,2,0
14757840-e730-479b-a4ac-7227addda9f5.singles,10,20,0.0005313375499999999,0.02640961258000001,0,8.076804000000001e-05,0,100,1844,67,29,0,0,2,2,0
14e6df24-582b-4c18-86eb-9bc8454a44e8.singles,10,20,0.0005540618799999997,0.0030183581700000003,0,0.8603691244600004,63,100,115,57,27,0,0,3,3,1
152d64ff-02a4-45ea-8ec1-71ced7f3c16c.singles,10,20,0.0005307560000000002,0.019613450589999998,0,0.00090892568,1,100,1413,67,29,0,0,3,3,0
155e8203-617d-42a7-99f7-54b486138cbb.singles,10,2.533507414,0.0005131422400000001,0.00832801476,1.363e-06,0.0008843087799999999,1,100,504,63,29,0,0,0,0,1
15cceb08-6b44-4a9a-a605-b4b3f01a1c00.singles,10,20,0.00054104775,0.05026980885000004,0,0.005509589300000001,5,100,3342,66,30,0,0,2,4,0
15f341eb-5f30-438d-9c1a-911cec182c17.singles,10,20,0.0005318300500000003,0.02882344245000001,0,8.141403999999999e-05,0,100,2084,67,31,0,0,1,2,0
1617f69a-15d6-4018-b682-d5ca0dd19109.singles,10,20,0.00054545599,0.46021428105,0,8.714608999999999e-05,0,100,35342,63,29,0,0,5,1,0
161c2f68-6001-4f82-9e6f-f8c38188294c.singles,10,0.150128387,0.0005111364600000001,0.00896574412,1.472e-06,8.135538000000001e-05,0,100,476,61,29,0,0,3,2,0
16452e21-a733-4c6b-b98a-aa19bb262adc.singles,10,20,0.0005144891899999999,0.009376210799999996,0,8.018666999999999e-05,0,100,496,63,30,0,0,1,3,0
16a43970-3592-48d9-927b-3cfddcc05098.singles,10,5.286336508,0.00050779397,0.003854096480000001,1.583e-06,0.0008793236700000001,1,100,167,58,29,0,0,1,4,0
16f9f482-e57b-4083-8c09-72e18c5c7f88.singles,10,20,0.0005600235299999999,0.011578728259999995,0,4.648204172409998,202,100,695,59,30,0,0,1,2,1
170c04cc-432e-4307-8712-bf3f54b554a0.singles,10,20,0.0005386116000000001,0.030718277730000007,0,0.0036862633400000008,3,100,2064,64,29,0,0,2,4,0
1718f98a-27a4-4dc1-a915-ca86b7b9ef13.singles,10,20,0.0005191595999999999,0.0021502404099999995,0,0.001946452999999999,2,100,51,58,26,0,0,0,3,0
171b58e1-e002-4dbe-9e77-a975b1c86f8e.singles,10,20,0.0005395813799999999,0.013147127170000002,0,0.017884629209999996,8,100,788,61,28,0,0,0,5,0
17222c61-9345-4a31-a664-80175781d0b2.singles,10,20,0.00054259669,0.06416178494,0,8.161871999999999e-05,0,100,3970,67,30,0,0,2,4,0
1796c4e0-2aff-4973-afc4-9c54cb50a87e.singles,10,20,0.0005269527799999998,0.024967478750000008,0,7.954943e-05,0,100,1575,65,30,0,0,1,2,0
17b5bfed-3928-4284-9368-0f55e3f5db37.singles,10,20,0.0005573063399999998,0.04557664236,0,8.298843e-05,0,100,3635,68,29,0,0,1,2,0
181184b6-ed4b-46ad-8a66-f50bd6666630.singles,10,20,0.0005449530100000002,0.1032042707,0,8.749061000000006e-05,0,100,8708,61,28,0,0,2,3,0
193ab65b-6f56-4b36-82ce-a30f1c938e97.singles,10,20,0.0005164664099999999,0.011087931899999999,0,0.0008363314199999999,1,100,709,64,29,0,0,2,3,0
19884341-4194-4ea3-98ea-a3d33a34e4a0.singles,10,20,0.0005068994900000001,0.0049856238900000014,0,0.0017178322399999998,2,100,305,59,28,0,0,1,2,0
1a0d1102-1e7a-4344-bc7e-d632db3c5a9e.singles,10,20,0.0005132246200000002,0.010900272679999998,0,8.181442999999999e-05,0,100,618,65,29,0,0,3,3,0
1a3a3c58-7e94-42f1-8a0c-49f948a98179.singles,10,0.084129266,0.0005306844999999998,0.013768945070000005,1.543e-06,8.052796000000002e-05,0,100,741,65,29,0,0,0,3,0
1a933dd5-9e1a-4a1e-a9ba-b5e1cf3b8723.singles,10,20,0.0005460329300000003,0.06108519802000003,0,0.03593342653000001,22,100,4027,70,30,0,0,1,4,0
1a96a912-87f7-42ca-b4b0-2027782c9d4a.singles,10,20,0.00056640944,0.02753217352,0,0.0008889816000000003,1,100,1787,61,29,0,0,5,5,0
