instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
5e774ca4-0ae9-4ba1-831a-1458d5b054ef.singles,5,0.001369781,0.00018506642999999997,0.0010182201100000004,1.873e-06,2.369323999999999e-05,0,100,48,18,8,0,0,0,1,0
5e8228c9-da6f-4f99-89db-512ab1fd5e6e.singles,5,0.001385128,0.00018513068999999996,0.0009912689500000008,1.713e-06,2.4877859999999995e-05,0,100,14,15,7,0,0,0,1,0
5e8ce4ad-3ec3-437a-b6c8-870676662e45.singles,5,0.002244375,0.0001844960900000001,0.0010181186100000005,1.703e-06,2.6470640000000006e-05,0,100,52,14,7,0,0,0,2,0
5ec2b825-5d46-4a57-a1d3-505c9985ceae.singles,5,0.001577796,0.00018396006000000003,0.0007234070199999999,2.234e-06,2.4125709999999996e-05,0,100,20,17,7,0,0,1,1,0
5f129ab3-414b-4e41-ad52-699b2d5164ad.singles,5,0.001434029,0.00018857988999999994,0.0008880514999999997,1.873e-06,2.4917410000000007e-05,0,100,30,16,7,0,0,0,1,0
5f9c45e7-b76d-4ea5-9de3-df0934431b1b.singles,5,0.001440734,0.0001833536600000001,0.0002822652999999999,3.426e-06,2.711917999999998e-05,0,100,3,12,6,0,0,1,0,0
5faf7c8d-db55-416f-8d7b-0ad005dc8e43.singles,5,0.001761961,0.00018756079999999997,0.00042441508999999995,1.483e-06,0.0003522608300000001,1,100,7,14,7,0,0,0,2,0
5fe4dcef-6b26-4cd1-9552-9110bf20ec56.singles,5,0.00136467,0.00019055232,0.0004839050399999999,1.432e-06,2.7276750000000006e-05,0,100,9,14,7,0,0,0,1,0
5ff0f0ad-fd88-43a6-b893-cbb0735fe513.singles,5,0.001349021,0.00017935940999999996,0.0003254632500000001,1.683e-06,2.3835729999999995e-05,0,100,4,15,7,0,0,0,3,0
606e7143-5b87-47f5-91fa-f44351dd7503.singles,5,0.001328307,0.00018606801999999998,0.0004250980400000001,1.503e-06,2.4565849999999998e-05,0,100,6,14,7,0,0,0,1,0
60bed3e9-ae69-42a5-bcfb-722a92cc62aa.singles,5,0.001722647,0.00018127892,0.0006304142399999998,1.814e-06,0.0003341180299999999,1,100,20,15,6,0,0,1,2,0
611a90c4-9b79-4cd6-8113-f83fc4e28ac9.singles,5,0.020016132,0.00022408257999999995,0.00048438150999999984,1.482e-06,0.01699696079000001,15,100,7,14,7,0,0,1,1,0
61e875fe-d920-4768-919a-b0117ca31811.singles,5,0.002224434,0.00018099545000000003,0.00048769552,1.703e-06,0.00067430878,2,100,12,11,6,0,0,1,1,0
6252397d-8572-45d3-a2cc-5e3b1e6428f4.singles,5,0.001790234,0.00018430483999999997,0.00045730364999999973,1.383e-06,0.00036383382000000007,1,100,6,14,8,0,0,0,2,1
626eb780-dae7-4cdc-a75c-c44da96abbe8.singles,5,0.001652429,0.00018333677999999993,0.00035423244,1.413e-06,2.536125000000001e-05,0,100,5,12,7,0,0,0,0,1
627ceadc-0280-4089-ae72-2ec251cd96cd.singles,5,0.001525767,0.00019906442,0.00045377436999999987,3.286e-06,2.5574650000000004e-05,0,100,7,13,7,0,0,1,1,1
62e5b4a8-2b66-4aaa-89d7-875e0116c3ee.singles,5,0.001977951,0.00019843510000000001,0.0008713007699999998,1.402e-06,0.0004767874799999999,1,100,25,17,7,0,0,0,3,0
64a32b58-172b-4346-a7f7-493f2c4df1d4.singles,5,0.001345084,0.00018143359000000002,0.0003727102100000001,1.392e-06,2.5463990000000005e-05,0,100,5,14,6,0,0,0,1,0
64dd4d81-129c-4fb4-be82-8bac4611b9b2.singles,5,0.001318223,0.00018018078999999996,0.00035492609999999996,1.432e-06,2.4682399999999996e-05,0,100,7,12,8,0,0,0,1,1
6582053e-d79e-46fc-be8e-b493f7c55a10.singles,5,0.001384943,0.00019207358,0.00011726902000000002,1.392e-06,2.4990319999999995e-05,0,100,0,13,7,0,0,0,2,0
660cfdc1-5598-4514-8d03-38d48e04dad2.singles,5,0.001370265,0.00018140639,0.0005176615000000002,3.276e-06,2.3906729999999998e-05,0,100,9,15,7,0,0,0,1,0
662934fe-6bc0-4552-bedb-dc74bb6313a7.singles,5,0.001849956,0.00018866699999999992,0.0005696209200000001,6.372e-06,0.00043793604999999974,1,100,13,15,7,0,0,0,0,0
66dd41a9-9319-4dae-8148-a3b7ade131b3.singles,5,0.001868891,0.00018297210000000006,0.0005730683700000002,1.643e-06,0.0004511889099999998,1,100,11,15,7,0,0,0,0,0
6708046b-e6c2-4b49-889c-e7bfdcd93034.singles,5,0.001799877,0.00018122363000000005,0.00040542853000000005,1.443e-06,0.00045917182,1,100,7,14,6,0,0,0,1,0
67a7a82e-983b-4cc7-8259-60cb564a651b.singles,5,0.001346342,0.00018941719000000002,0.0015337761600000002,1.332e-06,2.487456999999999e-05,0,100,94,17,7,0,0,1,0,0
67de8365-ae97-4ee4-9e0c-d9707206646a.singles,5,0.003573138,0.0001877226,0.0005518669799999998,1.413e-06,0.0017515645400000002,3,100,10,16,7,0,0,0,0,0
67fbe5f6-3613-43de-8691-4c8ce6d29dd9.singles,5,0.001429381,0.00018463904000000004,0.0005210308699999999,1.593e-06,2.720618000000001e-05,0,100,9,16,7,0,0,0,1,0
