instance,n,cpu_time,Solution
444758ba-77a8-4944-80c0-1e29b5539779.singles,5,0.003233914000000171,True
4b7f0aa5-6915-4d0f-b235-3a3cef884a85.singles,5,0.0018495890000000959,True
4e0b439c-f57e-45a1-a723-0787e4b1900e.singles,5,0.0016863540000000565,True
501b0eca-5ac4-4ec9-a82e-0bdd76a0f1a8.singles,5,0.0024300180000000893,True
53a25400-ff00-4655-ada8-734c582b6b0f.singles,5,0.0019565690000000746,True
57957733-fd97-4316-965c-731377f7e3f0.singles,5,0.0020304879999999415,True
58209187-f948-4835-bd1c-c255111d2be3.singles,5,0.002452651000000028,True
5d62f806-fae7-4264-b722-f2db3a6d3b2b.singles,5,0.0034739870000000117,True
60bbdebd-aa2f-4c57-bbb7-bca1b3425afd.singles,5,0.0018183910000000303,True
61a18182-2a74-434c-b513-956483a6f5ea.singles,5,0.002212158999999936,True
63c5c7e5-c3ad-4b85-8ebb-2613273fdffd.singles,5,0.0021357049999999322,True
649ae447-36ea-4cfc-b17c-869a90b16849.singles,5,0.002413366999999944,True
6a76cf02-b768-4a34-b78f-1d99b207b552.singles,5,0.0017308060000000847,True
6b37f589-93be-4fb2-a4a0-26b78a867417.singles,5,0.0025085840000000914,True
75729a81-1d5d-4c21-9018-74fdf65d793e.singles,5,0.002669366999999978,True
75f330f8-612c-4633-a71c-637889b5531e.singles,5,0.0017625960000000607,True
7bcfda88-d031-44e2-aa52-ffa291e5988d.singles,5,0.00222424099999996,True
7c257f23-1dd2-4ff5-9470-ac031165c676.singles,5,0.001676994999999959,True
7cfd9806-2267-4680-a35a-adb920108645.singles,5,0.002812254999999819,True
833a01d2-3eff-4442-b2d9-1edf7d9b7915.singles,5,0.003460220000000014,True
846c074d-816f-461e-9b22-ee38fa50537b.singles,5,0.0024975240000000287,True
8470bc3c-345b-46b3-b1c0-32dc2dd653f0.singles,5,0.0019390669999999055,True
84bddf40-c2ef-4428-9626-2dcd19eb2f33.singles,5,0.0017910679999999513,True
909e1b15-3367-4837-b115-48e9901c8884.singles,5,0.0027433350000001244,True
9213c3ce-1d13-4504-bafa-f92ac50a0ec0.singles,5,0.003048868000000038,True
93d86db9-7ffa-42ff-b94a-8c10ea84ca95.singles,5,0.003040162000000013,True
971e557e-f0f4-48db-a359-dafb2ddb693d.singles,5,0.002282200000000012,True
9734f996-9df0-4256-9376-483044a718b8.singles,5,0.002111438000000021,True
a3ec8dc4-55ed-4990-b47f-04b01b45e0d7.singles,5,0.00267315300000015,True
a43f9fc8-b58f-42b4-8c13-4d24b6fc081d.singles,5,0.002064081999999967,True
a4b59cb2-8a97-4b74-be83-3a76c216fa40.singles,5,0.0025219510000000778,True
a5f1cb95-21a6-4db3-8c93-8cc9c8e4c5c1.singles,5,0.0025274399999999364,True
a8907a40-8776-4ee0-bd40-c1e169b0a0f4.singles,5,0.001961537999999985,True
a9a5a8ab-25bc-402c-aaa1-9fcdaef51b07.singles,5,0.002773953999999801,True
a9b4643f-14a3-49ea-959d-dd1010f3219a.singles,5,0.0031189789999999107,True
aa5f5104-7a28-407c-ab59-1577029c3a7f.singles,5,0.0025973009999999963,True
ac38e19e-e602-480d-a518-c584bd274c60.singles,5,0.0021444820000000586,True
b1f16aef-0e4d-46c2-886c-370e72f3828e.singles,5,0.001840492000000138,True
b89be804-71cd-4d24-af1c-200fde40b568.singles,5,0.003349229999999981,True
b9cbc9f6-b440-4ac1-8086-6554dcf63543.singles,5,0.0033532889999998705,True
b9dea9d7-bfd1-474c-b87e-d34303e49c41.singles,5,0.004365259000000066,True
ba8eb2c5-2276-4510-9916-cd8d8d368720.singles,5,0.0029489809999998506,True
bb2b54fa-3ede-4d43-baaf-741f9a3645c0.singles,5,0.00223101399999992,True
bba19acf-b568-4cee-b8b1-18fa290e163e.singles,5,0.002697620999999817,True
bc8114c1-1c7c-45a6-ac33-d1c1f07a0b60.singles,5,0.003689508000000119,True
bcd3172e-92f5-4af1-8a48-e22b5c38b1b0.singles,5,0.0033326909999999987,True
bf5c3022-13cd-4ac4-9d83-0db594aab320.singles,5,0.00285823900000004,True
c0dfefdd-2913-4504-b086-b3fc8833f937.singles,5,0.0026259040000000677,True
c1d1389e-f001-4699-8e02-2fc02c2a90ad.singles,5,0.002752842000000033,True
c2629ece-fb79-4936-af96-0f0b113bc549.singles,5,0.0019188679999999625,True
c6178763-96eb-478e-927f-7cd30aa91d46.singles,5,0.0027362029999999926,True
c87003db-3882-4154-ad26-4b0b514b08bc.singles,5,0.002125906999999927,True
caeb6cc9-8ff8-4394-a6c5-750279157565.singles,5,0.003556208000000005,True
cbd31e54-d2bf-47de-8ad1-9985ee7396fb.singles,5,0.002575029000000173,True
cc66e282-5fa2-45e1-a127-2c77c5bd96c4.singles,5,0.0030014990000000186,True
d3023cf0-3095-4072-bbe0-d0f3be819434.singles,5,0.002622840999999987,True
d3be8f36-a208-43e6-a97c-df090afbcd23.singles,5,0.005564034999999912,True
d4f2cc4e-4970-4d5e-aa91-6d8bdf4e8d7a.singles,5,0.0021343819999999347,True
d6375afb-df74-4d5d-8401-1c6ca08ef3a4.singles,5,0.002179766999999888,True
e52eecae-aadb-4d68-a343-1e54371de85a.singles,5,0.0023667890000000913,True
e650938b-467a-4d36-ae42-f0aff468ec4c.singles,5,0.002736881999999996,True
e6cca748-15f4-4830-ba77-9d06de0b0366.singles,5,0.003322620000000054,True
e8da2b54-8828-4a20-9d9e-430ff4a40d34.singles,5,0.0024426900000000806,True
ec3668ac-b4d1-42a6-8f15-e22ff17f1cfa.singles,5,0.0021621439999999215,True
eea76ddd-3228-443e-870c-be6a811c6b7a.singles,5,0.0036677689999999874,True
f2c39f03-9a79-424f-b0ce-54b1ec7efd71.singles,5,0.002738377000000014,True
fd149279-4343-42c5-b150-626d898ac5e9.singles,5,0.0035362320000000835,True
