instance,n,number of cycles,covered squares,cpu_time (s),solution found
2a6fefcb-c3d4-4de3-a702-ac72f0a068a4.singles,10,968,29,0.003057384,True
2a80c787-93b2-4e5a-baab-dcce69c557df.singles,10,89636,28,0.013389441,True
2ab8ecc9-c02b-4514-8bf7-663acb8b21d7.singles,10,252,28,0.00438838,True
2b7bc523-4705-4f46-81c1-bd1722db13e3.singles,10,962,29,0.523999642,True
2bab887e-42d9-4a0a-89dc-7a400b6fc9f4.singles,10,8818,29,0.005134459,True
2bb680e4-8b5c-4f77-a29f-d4c0d58e3b77.singles,10,470,29,0.006362764,True
2bda3e37-5640-434f-b39c-de7cb923e78c.singles,10,608,30,0.010145958,True
2be4454d-4be4-4fa8-9ee0-bae86305729a.singles,10,1000,30,0.005327832,True
2c00788b-2cfb-4254-bf25-f8ee78052d5c.singles,10,1011,30,0.00300787,True
2c14a654-de67-45c4-8bb0-b56e5770fb56.singles,10,18485,30,0.003175867,True
2c5b08b8-f5b7-4c36-a0ad-7452d47bb3d9.singles,10,478,29,0.003010625,True
2ceb83f2-a163-407f-986f-6f17d69b324c.singles,10,971,28,0.003295119,True
2d17c8d0-c43d-4ad5-ba4a-67d9fc3d036e.singles,10,1176,29,0.009135966,True
2d2e1636-c4fb-4842-be2e-dfc39afb4d10.singles,10,1762,29,0.00444762,True
2d4f71e8-c3aa-4cda-be00-1cb836b2fbee.singles,10,3703,30,0.013536136,True
2e8af001-adb4-4cfa-8468-1e950c46be44.singles,10,412,30,0.00306546,True
2eab52c2-7689-45a7-b0c1-5e6d5d9177ca.singles,10,881,28,1.132151135,True
2ee676ea-1ab9-4d98-8520-3a6815d82dc4.singles,10,265,27,0.00305521,True
2f1d9b1e-b90c-43da-87cd-1cac214e9a00.singles,10,703,29,0.004342834,True
2f3fec8f-3886-4bb3-8b4f-4018a6e58a07.singles,10,965,28,0.002865594,True
2f681707-26a1-4b35-b93a-bcffa8c57e01.singles,10,857,28,2.010276566,True
2f6e57dd-7904-4f81-a0fe-a6ff1b1f12b7.singles,10,501,30,0.020616954,True
2f7fd170-e709-4273-a2cb-38d4d4c221f7.singles,10,259,28,0.007179274,True
2fbd0db9-4957-4921-865c-70436b71b3d8.singles,10,4547,27,0.003271214,True
2fcf9475-1e08-4f74-8de9-495ec215a360.singles,10,111,29,0.003009114,True
301b04a0-f97d-4664-9a67-7fd5043987b7.singles,10,177,30,0.002910107,True
303e9998-8b85-4eba-840d-96c4066a9dd4.singles,10,929,28,0.003651899,True
307f0683-0660-446f-aaa0-9791d9de1da6.singles,10,2312,28,0.004547679,True
3089ee1c-a290-4344-8faf-66ef6d3e52da.singles,10,2339,29,0.003317781,True
309ec2d3-7575-4277-9d9f-e31e71ce9a5e.singles,10,189,28,0.003693035,True
316a49fd-80bc-4521-945d-b632ea23c2a7.singles,10,363,28,0.002929946,True
31b9b9d7-8637-47e6-8b73-77a2ebb256d8.singles,10,9482,27,0.018536314,True
31f6b693-3c30-430e-b9ee-8fce9f36f0e1.singles,10,647,27,0.00370578,True
32711b3c-1b21-4099-84c4-69a98fa423ce.singles,10,1112,28,0.003080298,True
32c343d9-d05e-465e-9831-4d319f68e7e9.singles,10,223,28,0.002882767,True
32d672c9-7e04-4b2c-be87-a6cc9413fe07.singles,10,500,28,0.006053251,True
32db61a6-7cd7-41d9-9907-ce149de30ffd.singles,10,3936,29,0.003082972,True
33a5dda2-30a2-4faf-90df-f5dc3281f614.singles,10,506,29,0.002959331,True
34409973-8c49-4a37-b11e-bcf93f01d119.singles,10,1623,29,0.003007481,True
34d0d5a9-d743-4414-a5b9-c89761738bc1.singles,10,3141,30,0.099027285,True
34e88da9-3036-489e-abb4-14e8324d5c7a.singles,10,3674,29,0.003332391,True
356a262f-096f-4e9c-be27-d808c96feaa3.singles,10,420,29,0.008001635,True
35890dfa-b8ea-4d86-9dc7-e9ce15bb3722.singles,10,908,30,0.004866297,True
35acdbf6-98f9-43e2-b061-042307dc5c7d.singles,10,387,29,0.003707104,True
35e45772-98fd-436f-8a7b-a170754e5cfc.singles,10,836,29,20,False
363bae4f-6995-4c51-aeba-203e320d060f.singles,10,20255,28,0.005333814,True
363fb4e9-cfe2-42cb-9bb5-dfe97789fd4c.singles,10,4708,29,0.003760073,True
367c1ce5-3bdf-4ef2-adb9-fb2e2fe97951.singles,10,75,30,0.312530088,True
36870200-1a03-4510-aafe-d6569cbef34c.singles,10,760,28,0.006676541,True
36f9fc61-4d94-48b1-b75a-6ebbef64a2f1.singles,10,260057,29,0.002962295,True
36fe398e-5038-4e25-be6e-5a15c55b76fa.singles,10,1587,29,0.007252432,True
37115cf5-a03a-400f-a0e5-258de2e37400.singles,10,1907,29,0.003973902,True
37560aa0-cd75-4e38-9dbb-9372dc3045be.singles,10,375,29,0.790827107,True
3782ac38-65ce-4b4a-b7fa-8f6df6862697.singles,10,97,29,0.003196183,True
378f2349-1ae7-4854-8f4f-f19f89f5d7ab.singles,10,1266,29,0.152599816,True
37bf851d-231a-4e8f-a7a8-778aad10fdb2.singles,10,835,29,0.003288257,True
38043cf5-91c2-4db2-b827-ea1b98acb015.singles,10,5775,30,0.014083501,True
381a3189-a3fd-4d9e-b35e-0df8bf125372.singles,10,811,27,0.04304899,True
38211caa-d48b-4c7d-a88d-659539b6c701.singles,10,249,29,0.003397793,True
38a170bf-3397-4a74-a65c-f98d4a6e7438.singles,10,19834,31,0.004281078,True
38a7e063-9fe0-42c8-962e-fc9f65325fe0.singles,10,793,30,0.024965806,True
38acaecf-2ddb-4bbe-8acb-9b99e9680287.singles,10,512,27,0.003654054,True
38e3d35a-1f56-4d7a-9fcf-773d0a7bdda2.singles,10,954,29,0.004966094,True
38f94390-929b-459a-b562-847d534e3440.singles,10,498,28,0.003962823,True
3918459f-a391-46b3-bd48-8172c3401626.singles,10,705,28,0.005069528,True
3939a982-74d0-483e-a9dd-a01b5d13bdef.singles,10,4617,28,0.255085925,True
39c7905a-91a2-47df-8459-6c0bec5c97c8.singles,10,736,28,0.003407461,True
