instance,n,number of cycles,covered squares,cpu_time (s),solution found
13a0deb9-e004-40c0-82a4-609d47bd8890.singles,10,2125,30,0.036557167,True
13c09486-2247-4716-b37e-ac49952faaa2.singles,10,12916,29,0.200642173,True
14260c21-a09b-408d-aa21-757d4d4a0d3e.singles,10,457,28,0.013132058,True
14773f70-b871-4ca4-bd5e-440ada3a6bcf.singles,10,2806,28,0.04669334,True
14888376-b9cb-4d4c-9717-4456141a0491.singles,10,649,29,0.013231215,True
14a8737a-eeed-4cf2-a4b0-d5f890db301f.singles,10,122,28,0.005371574,True
14a9e42c-4b21-4119-97b8-66fc91d766ee.singles,10,255,29,0.007665898,True
14bf554a-c773-433c-8b24-dc544e6167d1.singles,10,1302,28,0.021397012,True
14c0c8da-6234-4b44-b7e0-1449209f96e9.singles,10,408,28,0.010926783,True
14d82475-3f13-4d69-a87e-dcfedfb11ee3.singles,10,1126,29,0.021644491,True
15235985-f737-4a87-bed0-6516907f2b0d.singles,10,440,28,0.013113882,True
15325d55-e287-4247-808e-f41f7ed69136.singles,10,6985,29,0.123040708,True
15451449-e04f-410a-81a5-93e3ac05b473.singles,10,1694,29,0.035008685,True
1581dd3a-5b36-4c09-9ed7-abcf7b30f0a7.singles,10,756,29,0.014698385,True
15c7878e-2d3d-44bd-92f2-f044fa17de75.singles,10,60,29,0.004917052,True
16213563-beb9-4958-a059-f842a86d4f35.singles,10,3848,28,0.053028287,True
1634853c-52db-4a61-be18-3fed94f6f126.singles,10,957,29,0.020117568,True
168a245e-c08f-45f2-82ce-db149cab23ed.singles,10,212,29,0.007497422,True
16daf7bc-6e58-4d89-bb06-80296d6435a1.singles,10,30697,30,0.376605307,True
1708d980-19d3-4924-9dd8-f56b85634ce2.singles,10,263,28,0.008122213,True
17507c78-f40f-46af-9e56-37545408d749.singles,10,580,29,0.013727746,True
179b23fc-0a22-4c5d-953a-3ff97567eab5.singles,10,304,29,0.007976358,True
17cf7438-1cd3-4365-aee2-d1f99363e6dd.singles,10,3076,29,0.057120547,True
18410807-35b8-49fb-8791-b9901d825913.singles,10,296,28,0.008929988,True
18f826d7-7464-4e1f-b2e7-95bf8440e7a0.singles,10,458,27,0.009711011,True
192af2b6-ab4c-4af9-9023-f153ec93df8a.singles,10,153,29,0.006769709,True
1987445a-6e6b-43d1-aaff-2e7323b42c29.singles,10,416,28,0.010814261,True
19a9f3e0-5387-4219-b71a-4586f8222298.singles,10,214,28,0.00901145,True
19bcbaea-0300-4072-9b55-1dd70669973f.singles,10,77,27,0.005269072,True
1a05ddf9-1c1a-47d3-85ab-b9a034852324.singles,10,562,30,0.014141932,True
1a073d25-65f2-42cc-98dd-476632045ee1.singles,10,1852,28,0.029728206,True
1a74e75b-6b8c-4dfc-8678-e5ab0f8815f4.singles,10,393,29,0.009369642,True
1aade891-fdc5-4c16-85b8-557f090f9a3f.singles,10,1683,29,0.032142706,True
1ad4631d-9b5b-4eea-ab02-70e8a03ce67a.singles,10,649,29,0.012834692,True
1b147727-fe70-41ca-8705-240b689cc237.singles,10,4729,29,0.070681527,True
1b529cd6-ee9f-462d-b711-3d4971644f23.singles,10,42960,30,0.542916615,True
1c612c3e-5ef8-4cda-815f-ca681ab24d53.singles,10,1921,28,0.030004931,True
1cc5a879-b0db-4d89-9ac8-c32e0114af8a.singles,10,2631,28,0.077821266,True
1de23a3a-ad4f-4b62-b43c-e1b8084155b4.singles,10,323,28,0.00893649,True
1e0c1778-3b73-4155-bfa2-0e769ca5a83c.singles,10,479,29,0.013007161,True
1e4aeadd-9ebf-49d5-b078-3e3e395c1ae3.singles,10,1213,28,0.023968281,True
1eceaaf3-da4c-41ff-9824-18d81355fa90.singles,10,30946,29,0.442439761,True
1f72aa5f-4962-451d-94ca-0e82fb8e20a7.singles,10,1690,29,0.031282892,True
1fb51598-f44f-472c-baeb-9f0e66b8a089.singles,10,788,29,0.017405021,True
1fbb2d08-2fc1-412f-ac61-c1f5ca993227.singles,10,613,29,0.013910867,True
1ffe8fc2-268a-40f6-8f0c-2e99d799bde5.singles,10,399,30,0.011059221,True
20ab734f-931d-4291-a60d-18458df7cff6.singles,10,3676,28,0.05317676,True
21103c0b-2065-42e2-bd47-02f767a8134a.singles,10,1833,30,0.027915211,True
211e9dd0-7bf2-476b-a20f-94281414e728.singles,10,874,28,0.01717511,True
213ffe88-ae6c-4d83-a5fa-b6f0dc30b1b6.singles,10,1805,30,0.031117698,True
229d9a9c-d77d-4ad4-8217-bf9795bddd4e.singles,10,238,29,0.007164537,True
229e29e2-8c97-432e-b076-dd01da0d5e8b.singles,10,443,29,0.010830061,True
22b36f05-a7c2-484a-aeea-ab39e32d10e6.singles,10,6098,30,0.090365877,True
23b0ce7a-eef7-4e2d-924d-dd44d9d9479f.singles,10,201,30,0.007237674,True
24b6b164-ecaf-49e5-9089-f0188b8cbd18.singles,10,2996,30,0.046375812,True
253573f9-3717-4f24-8974-3141f4757245.singles,10,196,29,0.006335792,True
257527b2-4a0d-4d08-8f94-943b66ea3ff0.singles,10,312,28,0.008369056,True
2596b8c9-e685-4cfa-bbc4-46165187b079.singles,10,1227,29,0.022261779,True
25dba782-224d-412c-8159-21acd745c7b5.singles,10,262,27,0.008202456,True
25f099b6-36ad-4471-b371-c7f947a5cb1b.singles,10,217,28,0.006725454,True
2606bc43-ad86-4e85-9194-a9f7c986ff4f.singles,10,201,30,0.006527842,True
26736532-663d-445f-b0dc-130d01ad4dd0.singles,10,454,30,0.011358655,True
26955c8f-4e90-48d2-aaa6-7e2a47e420a2.singles,10,7624,31,0.102206404,True
269cf19e-fb26-428b-ba88-cb48cbc6c67e.singles,10,260,26,0.008633341,True
26ae0f19-ff9a-4bcc-9ac0-e48f106b3b5f.singles,10,1310,30,0.020856415,True
27b00d81-aa74-48bd-991e-2778e7107e55.singles,10,15525,29,0.228265193,True
27cffb8f-b32e-4e37-8a80-cc5db97c986d.singles,10,3477,29,0.052941782,True
27d51262-8287-437b-9202-4f097c8b5d89.singles,10,30097,29,0.416873654,True
27eb0744-c570-4c6c-8a54-fc5a23c85916.singles,10,913,28,0.01998633,True
27f76bb9-2625-4631-aae0-4f9db4dc5ef3.singles,10,418,30,0.010639671,True
284f5983-c990-4007-82ae-9953ec65783a.singles,10,622,30,0.016837265,True
29b47e6b-bdc9-406c-b09a-e53c6f4b6631.singles,10,635,29,0.013569438,True
29ba17f8-7f7a-46d6-8b87-ccb5b38d7500.singles,10,94,27,0.005543077,True
29c6179b-7745-427b-92fb-6c49c0b75d55.singles,10,2182,28,0.050033484,True
29fbea7a-4bb2-4c0d-891a-b1bc1d28f99a.singles,10,1333,29,0.023401838,True
2a2950da-42f0-43d7-9384-ca47644c1e1e.singles,10,1067,29,0.02059351,True
2a4d4e24-0d09-4320-938e-c16ba5d2f999.singles,10,250,29,0.007737111,True
2a6d74e2-5136-401e-af09-fa56657bbd62.singles,10,11726,30,0.195559811,True
2a6fefcb-c3d4-4de3-a702-ac72f0a068a4.singles,10,968,29,0.016889565,True
2a80c787-93b2-4e5a-baab-dcce69c557df.singles,10,89636,28,1.297952191,True
2ab8ecc9-c02b-4514-8bf7-663acb8b21d7.singles,10,252,28,0.008941046,True
2b7bc523-4705-4f46-81c1-bd1722db13e3.singles,10,962,29,0.017949622,True
2bab887e-42d9-4a0a-89dc-7a400b6fc9f4.singles,10,8818,29,0.135833736,True
2bb680e4-8b5c-4f77-a29f-d4c0d58e3b77.singles,10,470,29,0.011616694,True
2bda3e37-5640-434f-b39c-de7cb923e78c.singles,10,608,30,0.01483542,True
2be4454d-4be4-4fa8-9ee0-bae86305729a.singles,10,1000,30,0.020958585,True
2c00788b-2cfb-4254-bf25-f8ee78052d5c.singles,10,1011,30,0.02134056,True
2c14a654-de67-45c4-8bb0-b56e5770fb56.singles,10,18485,30,0.314926444,True
2c5b08b8-f5b7-4c36-a0ad-7452d47bb3d9.singles,10,478,29,0.012454797,True
2ceb83f2-a163-407f-986f-6f17d69b324c.singles,10,971,28,0.019034698,True
2d17c8d0-c43d-4ad5-ba4a-67d9fc3d036e.singles,10,1176,29,0.021455881,True
2d2e1636-c4fb-4842-be2e-dfc39afb4d10.singles,10,1762,29,0.028732238,True
2d4f71e8-c3aa-4cda-be00-1cb836b2fbee.singles,10,3703,30,0.058905622,True
2e8af001-adb4-4cfa-8468-1e950c46be44.singles,10,412,30,0.012057594,True
2eab52c2-7689-45a7-b0c1-5e6d5d9177ca.singles,10,881,28,0.015123201,True
2ee676ea-1ab9-4d98-8520-3a6815d82dc4.singles,10,265,27,0.009063782,True
2f1d9b1e-b90c-43da-87cd-1cac214e9a00.singles,10,703,29,0.015914746,True
2f3fec8f-3886-4bb3-8b4f-4018a6e58a07.singles,10,965,28,0.019513316,True
