instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
0e6c5268-e78e-4aa5-9f47-9bcab701284c.singles,10,0.003328329,0.000530379,0.011484658,2.595e-06,608,66,29,0,0,1,3,0
0e81678d-3d80-4729-8e02-b0a9dbaa11ba.singles,10,0.007204201,0.000552842,0.0030135,1.613e-06,138,57,29,0,0,3,3,1
0f061f7c-bc54-433c-8c1e-f232eeb4a78d.singles,10,0.01105934,0.000495594,0.035015736,1.532e-06,2493,63,29,0,0,0,1,1
0f61321d-b5c2-4a47-b555-f1384c04fd00.singles,10,0.011025457,0.000591034,0.137011978,1.723e-06,9511,67,29,0,0,1,3,0
0f620bff-bf7d-4007-b42c-780b9687c4b8.singles,10,0.004001914,0.00055703,0.019229298,1.473e-06,1099,62,30,0,0,3,3,0
0f6f2bb7-b280-4d5c-b401-bd5901a71f2f.singles,10,0.007138918,0.000530961,0.005491902,1.613e-06,334,66,29,0,0,1,2,0
0f820077-cd6d-4c4c-a942-b9cfc375060d.singles,10,0.003255933,0.000502147,0.032122103,1.302e-06,2115,61,29,0,0,0,3,0
0f8be5c0-cea3-4792-90bf-15e580ed166b.singles,10,0.009068326,0.000547662,0.004508499,1.653e-06,259,59,30,0,0,3,5,0
0fb43771-d7a2-4eba-a55b-b3ab846c7117.singles,10,0.006402204,0.000495554,0.056520372,1.483e-06,3630,62,30,0,0,3,2,0
0fd4ebbc-d835-4443-b951-1663792de666.singles,10,0.007058528,0.00053576,0.031691498,1.834e-06,1880,62,28,0,0,5,3,0
0ff8c1ee-528e-4c6d-bce1-482df41ed488.singles,10,0.00330188,0.000537433,0.010057237,1.763e-06,833,65,30,0,0,1,3,0
10049401-ba4a-4536-9a4c-c13acb83e75c.singles,10,0.003272615,0.000519077,0.349835282,1.733e-06,26646,70,28,0,0,1,2,1
10115519-f0dc-48d3-99fd-3315eb2166d7.singles,10,0.050697744,0.00057809,0.011584656,1.934e-06,563,60,29,0,0,4,2,0
101fa32a-2104-419a-b483-eeb75473269a.singles,10,0.012833388,0.000508799,0.054436515,3.316e-06,3991,62,29,0,0,2,4,0
1094212a-b596-4c1c-9925-daec57556b39.singles,10,0.006087988,0.000538965,0.097225827,3.797e-06,7112,66,30,0,0,6,2,0
10b74ead-3887-4115-9278-5617bf787fbf.singles,10,0.00349541,0.000549836,0.003546044,1.493e-06,169,58,28,0,0,3,3,0
10ee98e4-76e7-4dce-9251-fe6e4c8f02de.singles,10,0.00325376,0.000493169,0.015763922,1.463e-06,682,62,30,0,0,3,3,0
