instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
e866b31e-3ad8-48bf-a492-a16702dca941.singles,6,0.034935489,0.0002351107,0.0010332793,2.785e-06,3.2591070000000005e-05,0,100,25,22,12,0,0,0,1,1
e8968460-816f-4342-a28b-a09e8173c934.singles,6,0.041175216,0.0002507765,0.0014205687700000005,2.715e-06,0.006097250110000001,6,100,54,25,11,0,0,0,1,0
e9030b60-67d7-4ed3-a643-f1e7c1339149.singles,6,0.03964187,0.00023978286000000005,0.0006782567099999999,1.843e-06,0.00044447917,1,100,13,19,10,0,0,1,2,1
e97b8ced-7eca-4fba-98bb-b422c36f62a0.singles,6,0.04545639,0.00023540035999999997,0.0006952774499999997,3.357e-06,0.0004791600799999998,1,100,16,21,11,0,0,1,1,0
e9c4db03-d1db-476e-97c7-3f3c6c000fbe.singles,6,0.036033108,0.0002496712799999999,0.0004658353,1.944e-06,3.5661579999999996e-05,0,100,6,19,9,0,0,0,2,0
ea12e268-b213-4389-8dd4-718f73b8c95b.singles,6,0.038561718,0.00023527869000000007,0.0013936909300000006,2.084e-06,0.0004516832200000002,1,100,60,24,10,0,0,1,1,0
ea77d7cc-6ac5-4c44-9581-ea2e4dc5f747.singles,6,0.04532671,0.00024149383000000003,0.00215566993,2.084e-06,0.002658774020000001,5,100,96,24,10,0,0,0,1,0
eb8f2f05-ee3a-425d-9ee6-a767f249102a.singles,6,0.049183246,0.00023616780999999995,0.0004639682799999999,2.345e-06,3.3611009999999994e-05,0,100,6,24,11,0,0,0,1,0
eb98488d-2e83-4157-a250-d8aa02e963fc.singles,6,0.083216624,0.00023404932000000014,0.0007831430500000002,1.924e-06,3.370232999999999e-05,0,100,14,24,10,0,0,0,2,0
ebe2ad56-fa3a-4127-a6f6-3c845db19454.singles,6,0.042687458,0.00023426713000000005,0.0011566336899999996,1.983e-06,3.3391680000000006e-05,0,100,37,23,10,0,0,0,1,0
ebf2ef52-3de0-4a32-acc3-fb1023179b48.singles,6,0.03422056,0.00023582863999999987,0.0009521601599999999,2.364e-06,3.375049e-05,0,100,28,24,10,0,0,0,1,0
ec09d5a3-d534-4a70-8b48-8e3c479c4783.singles,6,0.069178752,0.00025657653,0.0005101715000000001,2.154e-06,0.00044745613999999987,1,100,7,21,10,0,0,0,1,0
ec93543a-5cd8-4ef7-9b99-3c48c94f57a4.singles,6,0.054045732,0.00023750263,0.0007814183499999999,3.196e-06,0.0017499168399999995,3,100,16,22,10,0,0,0,1,0
ecf4ceb5-15a5-463c-be4d-7e1a0bfa2ece.singles,6,0.042508592,0.0002322727299999999,0.0009817285999999998,2.144e-06,3.333624999999999e-05,0,100,28,23,11,0,0,1,2,0
ed36362f-4370-4a99-a489-d070e364fe3c.singles,6,0.042868765,0.00023601562999999999,0.0014534394700000007,2.405e-06,3.336920999999999e-05,0,100,55,25,10,0,0,0,2,0
edc78a87-a9b6-4304-a52f-b92f775bd2a9.singles,6,0.038873902,0.00023603453000000006,0.0012315032900000003,2.374e-06,0.0008969771600000001,2,100,54,22,11,0,0,1,1,0
edecaa05-dd7c-4598-9f8c-3608944b19b0.singles,6,0.046245283,0.00023118381000000003,0.0006748497800000002,2.284e-06,3.351779999999999e-05,0,100,15,19,8,0,0,0,1,0
edf066f8-ee21-40ca-abff-809f3e3abac3.singles,6,0.038625972,0.00023569732999999995,0.00108581177,1.803e-06,3.345484e-05,0,100,32,23,11,0,0,1,1,0
